lake,date,time,temp_F,rel_humid,wind_mph,sun_shake,cloud_cover,
Kendrick Creek,13-Jun-18,18:38,72.2,46.6,0,shade,none,
Kendrick Creek,14-Jun-18,8:11,65.8,48.3,0,sun,none,
Y2A,20-Jun-18,13:54,74.5,51.6,2,sun,none,
Y2A,20-Jun-18,18:50,76.8,NA,NA,NA,NA,
Y2A,21-Jun-18,7:07,57.9,50,0,NA,NA,
Y2A,21-Jun-18,9:00,64,63.1,1.5,shade,none,
Y2A,21-Jun-18,10:00,68.7,83.2,0.7,shade,none,
Y2A,21-Jun-18,11:45,67.8,59.7,1.9,mixed,none,
Y2A,21-Jun-18,13:25,65.7,70.8,5.1,N/A,N/A,
Y2A,21-Jun-18,18:48,65.4,85.4,0.8,sun,clouds,
Y2A,22-Jun-18,7:37,55.9,58.1,0,shade,none,
Y2P,22-Jun-18,12:36,71,57.7,0,sun,none,
Y2P,22-Jun-18,15:09,73.8,91.3,2,sun,none,
Y2P,22-Jun-18,16:39,71.9,72.3,0.8,sun,none,
Y2P,22-Jun-18,18:12,76.1,91.6,1.8,sun,none,
Y2P,23-Jun-18,7:30,56.3,49.2,0.7,sun,none,
Y2P,23-Jun-18,9:00,64.9,56.4,1.6,sun,none,
Y2P,23-Jun-18,9:16,80.4,51.3,0.6,sun,none,
Y2P,23-Jun-18,11:06,73.1,100,1.3,sun,none,
Y2P,23-Jun-18,11:23,71.5,67.9,0.7,sun,none,
Y2P,23-Jun-18,13:00,70.2,86.2,1.6,sun,none,
Y2P,23-Jun-18,14:20,69.3,71.7,3.3,sun,none,
Y2P,23-Jun-18,14:33,75.5,62.2,1,sun,none,
Y2P,23-Jun-18,14:40,75.5,63,1.1,Sun,none,
Y2P,23-Jun-18,14:56,74.9,91.3,0.7,sun,none,
Y2P,23-Jun-18,15:04,78.6,66.2,0.6,sun,none,
Y2P,23-Jun-18,15:15,72.3,66.9,0.6,sun,none,
Y2P,23-Jun-18,16:17,68.8,76.4,0.9,sun,none,
Y2P,23-Jun-18,16:25,70.6,63.7,0.6,sun,none,
Y2P,23-Jun-18,18:14,69.4,72.8,0.6,sun,none,
Y2P,23-Jun-18,18:39,69.4,72.8,0,,none,
Y2P,24-Jun-18,7:30,68,64.9,0.6,sun,none,
Y3A,30-Jun-18,19:00,69,41.6,1.7,shade,scattered,
Y3A,1-Jul-18,7:44,65.4,37.2,1.4,shade,clear,
Y3A,1-Jul-18,9:26,70.1,36.4,0.8,shade,clear,
Y3A,1-Jul-18,11:22,73.7,35.3,1.3,sun,scattered,
Y3A,1-Jul-18,13:05,75.2,36.1,1.4,sun,scattered,
Y3A,1-Jul-18,15:43,78.1,34.5,2.5,sun,broken,
Y3A,2-Jul-18,7:33,64.4,43.2,1.2,shade,clear,
Y3A,2-Jul-18,9:11,76.4,23,0.6,sun,clear,
Y3A,2-Jul-18,10:57,82.8,21.2,0.6,sun,clear,
Y3A,2-Jul-18,13:05,77.9,26.3,0.9,sun,clear,
Y3A,2-Jul-18,14:59,75,28.8,1.9,shade,clear,
Y3A,2-Jul-18,18:14,71.4,40.8,1.7,sun,clear,
Y3P,30-Jun-18,19:22,72.4,62.9,0,shade,clear,
Y3P,1-Jul-18,8:04,70.5,57.1,0.8,shade,clear,
Y3P,1-Jul-18,8:08,74.5,55.5,0.8,sun,clear,
Y3P,1-Jul-18,9:40,74.5,52.3,0.7,shade,clear,
Y3P,1-Jul-18,10:51,81.5,54.4,1.2,shade,clear,
Y3P,1-Jul-18,10:57,82.2,55.8,1.4,sun,clear,
Y3P,1-Jul-18,12:57,90.8,60.4,1.1,sun,scattered,
Y3P,1-Jul-18,13:00,NA,NA,NA,NA,NA,Thunderstorm nearby
Y3P,1-Jul-18,13:50,79,60.3,1.1,sun,overcast,
Y3P,1-Jul-18,13:58,78.5,59.6,0.8,sun,overcast,
Y3P,1-Jul-18,15:46,80,63.1,0,sun,overcast,
